id,index,region,city,settlement,okato,oktmo,fias,kladr,latitude,longitude,geoname,tax_office
1,143900,Московская область,город Балашиха,,46404000000,46704000001,27c5bc66-61bf-4a17-b0cd-ca0eb64192d6,5000003600000,55.796339,37.938199,579464,5001
2,143900,Московская область,город Балашиха,деревня Дятловка,46404000006,46704000106,9280008e-3baf-4551-a95a-a9b7dadee044,5000003601300,55.732813,38.067089,579464,5001
3,143900,Московская область,город Балашиха,деревня Павлино,46404000016,46704000116,b23aa51e-ac94-44eb-ab48-af75e69f8aab,5000003601400,55.724789,37.955968,579464,5001
4,143921,Московская область,город Балашиха,деревня Пестово,46404000021,46704000121,032780da-9a2c-4215-af9e-a51452eef102,5000003603700,55.74847,38.052288,579464,5001
5,143985,Московская область,город Балашиха,деревня Полтево,46404000026,46704000126,b8dd2c1a-3960-4c2c-a4bf-7105d5ddd8c6,5000003601500,55.706741,38.134715,579464,5001
6,143985,Московская область,город Балашиха,деревня Пуршево,46404000031,46704000131,e991996b-86d9-4011-b97e-7b4803af9d47,5000003601600,55.721904,38.038442,504063,5001
7,143985,Московская область,город Балашиха,деревня Русавкино-Поповщино,46404000036,46704000136,78ffa59d-3468-4db0-b275-c30df35cea40,5000003601800,55.698345,38.064969,579464,5001
8,143985,Московская область,город Балашиха,деревня Русавкино-Романово,46404000041,46704000141,c552e89a-3f5e-4f93-ac9a-2d9bc2ffe657,5000003601700,55.703728,38.042637,579464,5001
9,143985,Московская область,город Балашиха,деревня Соболиха,46404000046,46704000146,b6940344-fe40-4ebd-8212-9fae01d2b884,5000003601900,55.730395,38.048566,579464,5001
10,143921,Московская область,город Балашиха,деревня Федурново,46404000051,46704000151,6776988c-22ea-4b95-b5b3-dc75d9dbca85,5000003602000,55.754557,38.048162,562960,5001
11,143988,Московская область,город Балашиха,деревня Фенино,46404000056,46704000156,01b92275-b641-47db-88e3-ad1d21bb1605,5000003602100,55.726173,37.948655,579464,5001
12,143921,Московская область,город Балашиха,деревня Черное,46404000061,46704000161,6dc9039a-8203-4f88-88e3-93c281596c0a,5000003602200,55.75091,38.068976,569077,5001
13,143985,Московская область,город Балашиха,село Новый Милет,46404000011,46704000111,583ec1ae-dffe-4390-b0db-21d8b087827f,5000003601000,55.710362,38.051099,579464,5001
14,140170,Московская область,город Бронницы,,46405000000,46705000001,582fae29-5955-4dba-9f77-ebf9a8e60827,5000000200000,55.425481,38.26409,571557,5040
15,142700,Московская область,город Видное,,46407000000,46707000001,9a72b510-9413-41d8-b076-576fbfd78404,5000002500000,55.551818,37.706254,473778,5003
16,142700,Московская область,город Видное,деревня Андреевское,46407000006,46707000111,df1f5eaf-6e74-4226-a4b2-60c8fabb305a,5000002503600,55.554771,37.924931,473778,5003
17,142715,Московская область,город Видное,деревня Апаринки,46407000011,46707000106,55d09650-aa5b-469a-871a-8acde5ad778b,5000002502900,55.572029,37.760557,473778,5003
18,142700,Московская область,город Видное,деревня Ащерино,46407000016,46707000116,8b025de8-1434-416d-858e-496572034789,5000002501300,55.589722,37.766001,473778,5003
19,142712,Московская область,город Видное,деревня Белеутово,46407000021,46707000121,c37faf94-5d3b-4613-86f7-cd405ee54338,5000002501500,55.504547,37.739698,473778,5003
20,142715,Московская область,город Видное,деревня Ближние Прудищи,46407000036,46707000136,a46dd154-edb6-4a41-b495-6744893733d5,5000002503900,55.578666,37.699562,473778,5003
21,142714,Московская область,город Видное,деревня Богданиха,46407000041,46707000141,53201500-bc47-49b3-80a8-21feac77d576,5000002500900,55.539049,37.877617,473778,5003
22,142713,Московская область,город Видное,деревня Большая Володарка,46407000046,46707000146,571a4197-ef92-45f7-9d49-ef832a6efc42,5000002501100,55.497245,37.947083,473778,5003
23,142700,Московская область,город Видное,деревня Большое Саврасово,46407000051,46707000151,d5b8ab32-49c7-42c8-9fc1-1ab9af683470,5000002504200,55.496327,37.913765,473778,5003
24,142718,Московская область,город Видное,деревня Вырубово,46407000066,46707000166,c9ebc8cf-4479-46e7-954a-a98767de8f01,5000002505400,55.566695,37.622271,473778,5003
25,142700,Московская область,город Видное,деревня Горки,46407000071,46707000171,aa323bc7-d5e9-4d1e-9ee3-19ddf98a8b89,5000002501700,55.50779,37.755933,473778,5003
26,142700,Московская область,город Видное,деревня Григорчиково,46407000076,46707000176,e34cab5a-3f07-4456-9853-f87ed13a2cb9,5000002505200,55.512526,37.902257,473778,5003
27,142714,Московская область,город Видное,деревня Дальние Прудищи,46407000081,46707000181,d568c8e1-a744-4f3f-9fa9-d475b4556b0b,5000002501800,55.552617,37.858914,473778,5003
28,142700,Московская область,город Видное,деревня Дроздово,46407000086,46707000186,e2dd4e0a-1233-438c-a117-f7d233abe51c,5000002500100,55.604787,37.801797,473778,5003
29,142700,Московская область,город Видное,деревня Дыдылдино,46407000096,46707000196,e08162e2-cf06-4704-a168-a0b252be678a,5000002502300,55.540134,37.741603,473778,5003
30,142700,Московская область,город Видное,деревня Жабкино,46407000106,46707000206,5be7b77d-7dfb-463a-ac50-07576b39b02c,5000002500600,55.556681,37.628029,473778,5003
31,142700,Московская область,город Видное,деревня Калиновка,46407000111,46707000211,b4f13cbd-75f2-4733-9fd3-4ffb814d2cc9,5000002500200,55.517623,37.719055,473778,5003
32,142700,Московская область,город Видное,деревня Картино,46407000116,46707000216,2bfa6aec-0c95-48db-925c-a1a9e19629ce,5000002502200,55.587489,37.795053,473778,5003
33,142700,Московская область,город Видное,деревня Коробово,46407000121,46707000221,591b4407-4653-4749-9908-5e183b1e9558,5000002502400,55.533419,37.821735,473778,5003
34,142713,Московская область,город Видное,деревня Малая Володарка,46407000136,46707000236,4ef9f86c-4840-40f4-9f41-210beb2b1b50,5000002502000,55.497307,37.957288,473778,5003
35,142700,Московская область,город Видное,деревня Малое Видное,46407000141,46707000241,8df76b9c-1fff-4108-975d-3e2c3de3ab84,5000002502100,55.572426,37.749023,473778,5003
36,142717,Московская область,город Видное,деревня Мамоново,46407000146,46707000246,c74abd6c-7e00-401b-8e38-ba6a8076f441,5000002503400,55.595801,37.810306,473778,5003
